,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2020-01-15 22:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 22:30:00,525,525,525,525,664,525,525,525,525,704,614,850,525,525,525,525,525,525,899,727,877,741,904,696,752,725,525,633,756,525,525,525,754,525,525,525,654,525,525,730,525,875,525,525,525,725,645,525,764,525
2020-01-15 22:45:00,525,525,747,525,664,525,692,525,561,598,614,850,655,525,525,525,525,604,899,727,877,741,783,696,752,725,525,724,525,559,525,525,754,525,525,525,720,525,525,730,525,875,525,525,525,725,525,525,525,525
2020-01-15 23:00:00,525,525,751,525,525,525,751,525,525,640,614,0,715,568,525,525,613,642,899,727,0,625,525,696,548,725,525,724,525,666,665,525,525,525,525,525,720,525,525,525,632,525,553,687,525,725,525,525,764,525
2020-01-15 23:15:00,525,525,695,525,623,525,751,525,696,704,614,0,715,751,525,525,724,642,899,727,0,741,525,561,752,525,525,724,525,666,665,659,754,525,525,525,720,525,525,730,668,875,752,711,525,625,525,525,764,592
2020-01-15 23:30:00,714,524,751,748,664,731,751,525,696,704,614,850,715,751,525,525,724,642,899,727,877,741,525,525,752,722,525,724,525,666,665,525,525,525,525,525,720,525,525,730,668,875,752,711,525,725,525,654,764,676
2020-01-15 23:45:00,525,525,751,754,664,731,751,525,696,704,614,0,715,751,525,525,724,642,899,727,0,741,525,696,752,725,674,724,525,666,665,533,639,525,525,525,720,527,525,730,668,875,752,711,530,725,525,654,764,676
2020-01-16 00:00:00,525,525,751,754,664,731,751,525,696,704,614,850,715,751,525,525,724,642,899,727,0,741,525,696,752,725,726,724,525,666,665,659,754,525,525,525,720,715,525,730,668,875,752,711,696,725,525,654,764,676
2020-01-16 00:15:00,525,525,751,754,664,731,751,525,696,704,614,0,715,751,525,525,724,642,0,727,0,741,525,696,752,725,726,724,525,666,665,659,754,525,609,525,720,715,525,730,668,875,752,711,696,725,630,654,764,676
2020-01-16 00:30:00,525,525,751,754,664,731,751,525,696,704,614,0,715,751,525,598,724,642,0,727,0,741,525,696,752,725,726,724,593,666,525,659,754,525,762,525,720,715,525,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 00:45:00,525,633,751,754,664,731,751,525,696,704,614,0,715,751,525,680,724,642,0,727,525,741,525,696,752,725,726,724,756,666,525,659,754,525,762,525,720,715,525,730,668,0,752,711,696,725,661,654,530,676
2020-01-16 01:00:00,525,661,751,754,664,731,751,525,696,704,614,850,715,751,525,680,724,642,0,727,874,741,525,696,752,725,726,724,756,666,525,659,754,591,762,525,720,715,534,730,668,0,752,711,696,725,661,654,764,676
2020-01-16 01:15:00,623,661,751,754,664,731,751,525,696,704,614,850,715,751,721,680,724,642,0,727,0,741,525,696,0,725,726,724,756,666,525,659,754,688,762,525,720,715,739,730,668,0,752,711,696,725,661,654,764,676
2020-01-16 01:30:00,731,661,751,754,664,731,751,525,696,704,614,850,715,751,917,680,724,642,899,727,877,741,525,696,0,725,726,724,756,666,525,659,754,688,762,525,720,715,739,730,668,0,752,711,696,725,661,654,764,676
2020-01-16 01:45:00,731,661,751,754,664,731,751,525,696,704,614,850,715,751,917,680,724,642,899,727,877,741,525,696,752,725,726,724,756,666,525,659,754,688,762,670,720,715,739,730,668,0,752,711,696,725,661,654,764,676
